LGA,Type,Population,SEIFA Score,Developmentally vulnerable
Alpine (S),Shires,13235,1027.612702,3.50877193
Ararat (RC),Rural Cities,11880,955.2148339,12.71186441
Ballarat (C),Cities,113763,985.7093504,9.847328244
Banyule (C),Cities,126236,1057.684713,4.215976331
Bass Coast (S),Shires,40789,992.8285467,12.13017751
Baw Baw (S),Shires,57626,1003.321525,12.38390093
Bayside (C),Cities,101306,1090.406575,3.211991435
Benalla (RC),Rural Cities,14528,968.4478935,8.849557522
Boroondara (C),Cities,167900,1089.616442,4.55950541
Brimbank (C),Cities,194618,912.4696637,11.26500462
Buloke (S),Shires,6178,975.0490374,11.76470588
Campaspe (S),Shires,38735,964.8686286,14.28571429
Cardinia (S),Shires,118194,1020.955982,7.25261217
Casey (C),Cities,365239,994.6710391,6.579194002
Central Goldfields (S),Shires,13483,897.5571127,19.65811966
Colac-Otway (S),Shires,22423,972.58665,6.995884774
Corangamite (S),Shires,16115,984.5903646,13.60946746
Darebin (C),Cities,148570,1018.342368,5.223880597
East Gippsland (S),Shires,48715,963.3117284,9.024390244
Frankston (C),Cities,139281,1003.136321,8.760024676
Gannawarra (S),Shires,10683,952.4122494,8.695652174
Glen Eira (C),Cities,148908,1074.592644,5.312954876
Glenelg (S),Shires,20152,952.299167,10.10638298
Golden Plains (S),Shires,24985,1039.942689,11.30434783
Greater Bendigo (C),Cities,121470,984.9620533,10.234375
Greater Dandenong (C),Cities,158208,886.6579124,10.70175439
Greater Geelong (C),Cities,271057,1007.331026,9.056745584
Greater Shepparton (C),Cities,68409,944.0409053,11.9078105
Hepburn (S),Shires,16604,1006.251286,9.756097561
Hindmarsh (S),Shires,5698,940.1013668,13.33333333
Hobsons Bay (C),Cities,91322,1020.66275,6.646825397
Horsham (RC),Rural Cities,20429,990.0981008,8.510638298
Hume (C),Cities,243901,940.8164076,11.49567367
Indigo (S),Shires,17368,1029.417236,3.296703297
Kingston (C) (Vic.),Cities,158129,1044.259648,6.042654028
Knox (C),Cities,159103,1042.169006,7.556368068
Latrobe (C) (Vic.),Cities,77318,930.8178602,14.58590853
Loddon (S),Shires,7759,948.1040223,11.86440678
Macedon Ranges (S),Shires,51458,1062.808882,6.339144216
Manningham (C),Cities,124700,1056.081109,5.746140652
Mansfield (S),Shires,10178,1027.619655,1.333333333
Maribyrnong (C),Cities,85209,1009.717021,5.575757576
Maroondah (C),Cities,115043,1041.026734,5.478331971
Melbourne (C),Cities,149615,1016.684788,10.45016077
Melton (C),Cities,178960,985.1878685,9.333333333
Mildura (RC),Rural Cities,56972,940.0018025,9.954058193
Mitchell (S),Shires,49460,999.547638,12.10762332
Moira (S),Shires,30522,958.2606536,11.49068323
Monash (C),Cities,190397,1042.308433,6.184364061
Moonee Valley (C),Cities,121851,1040.715483,5.670567057
Moorabool (S),Shires,37632,1017.233908,9.307875895
Moreland (C),Cities,171357,1026.530542,8.120805369
Mornington Peninsula (S),Shires,168948,1037.538438,6.549935149
Mount Alexander (S),Shires,20253,1007.453034,4.117647059
Moyne (S),Shires,17374,1028.978572,7.211538462
Murrindindi (S),Shires,15197,1004.689869,3.333333333
Nillumbik (S),Shires,62895,1092.873619,4.52173913
Northern Grampians (S),Shires,11948,951.3008393,12.34567901
Port Phillip (C),Cities,101942,1061.015673,6.845637584
Pyrenees (S),Shires,7671,958.6908796,8.823529412
South Gippsland (S),Shires,30577,1002.588744,11.97411003
Southern Grampians (S),Shires,16588,993.7303903,6.626506024
Stonnington (C),Cities,104703,1084.476004,3.13014827
Strathbogie (S),Shires,11455,981.9917555,7.407407407
Surf Coast (S),Shires,37694,1086.196967,2.494331066
Swan Hill (RC),Rural Cities,21403,940.6167909,15.38461538
Towong (S),Shires,6223,1000.769071,9.302325581
Wangaratta (RC),Rural Cities,29808,988.3513064,9.480122324
Warrnambool (C),Cities,35406,994.9477931,7.692307692
Wellington (S),Shires,45639,972.9694388,11.42857143
West Wimmera (S),Shires,4006,991.0072971,9.677419355
Whitehorse (C),Cities,169346,1042.697471,6.628056628
Whittlesea (C),Cities,229396,989.6036133,6.818945247
Wodonga (C),Cities,43253,973.0740152,7.540394973
Wyndham (C),Cities,292011,1005.516265,8.904548366
Yarra (C),Cities,90114,1045.741429,9.732824427
Yarra Ranges (S),Shires,156068,1041.249719,8.380592313
Yarriambiack (S),Shires,6556,945.9260556,11.86440678
